GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mhh_income,geoid_o,visitor_flows
36061030900,0,302756,149236.7275,1814.956782,21,78,1,0,0,10,2,18.88823645,78.87062047,0,8594,6.364905748,19.29252967,39189,36061030900,840
36061004400,1,410012,171461.8459,11528.60476,10,70,1,0,0,8,3,12.91997557,31.34120681,0,17222,64.31308791,3.25165486,163669,36061004400,1830
36061023400,2,108228,80546.72551,1257.188346,8,31,0,0,0,9,1,9.71726599,90.28273401,0,5112,14.88654147,51.29107981,35950,36061023400,1189
36061023501,3,179045,89784.81865,7320.570821,19,41,0,0,1,2,0,17.87311579,82.12688421,0,6720,17.72321429,34.3452381,68710,36061023501,1067
36061023502,4,41338,27608.49024,2581.632531,7,15,0,0,0,5,4,12.71551724,87.28448276,0,2206,10.65276519,58.70353581,51563,36061023502,340
36061023600,5,263164,108746.3615,8431.78006,19,43,1,0,0,6,3,5.648519724,66.35117741,0,9907,2.67487635,75.0075704,47114,36061023600,2530
36061023700,6,271911,96939.80433,9824.398471,20,61,0,1,0,13,4,22.65972856,24.70361032,0,6792,17.88869258,22.77679623,45060,36061023700,916
36061023900,7,63850,32914.78547,4468.929955,8,26,0,0,1,10,1,12.19739292,87.80260708,0,2675,15.58878505,29.53271028,36615,36061023900,219
36061024000,8,2183933,257574.4482,25905.00233,58,15,0,0,0,2,0,13.24092159,38.15820943,0.411567744,1302,13.05683564,47.69585253,0,36061024000,399
36061024301,9,105194,61607.50129,4064.140911,15,55,1,0,0,9,2,3.979678239,96.02032176,0,3993,15.75256699,26.34610568,65036,36061024301,429
36061024302,10,213258,40110.02881,15406.5731,25,15,0,0,0,0,2,24.50204638,43.8744884,0,7237,1.119248307,45.97208788,26464,36061024302,1191
36061024500,11,212070,153049.4009,5311.349141,22,163,4,0,0,44,7,0,100,0,13385,12.53642137,9.331341053,45000,36061024500,1582
36061024900,12,60659,29802.6273,2167.042905,14,22,1,0,0,3,2,0,100,0,1084,14.57564576,15.95940959,50573,36061024900,84
36061025500,13,441356,123732.8762,24402.45764,37,96,0,0,1,3,2,17.67804049,21.54325357,0,5697,31.68334211,6.494646305,94282,36061025500,914
36061026300,14,157208,114971.8484,9916.429457,20,146,2,1,0,27,8,0.132075472,99.86792453,0,7969,11.62002761,5.383360522,51875,36061026300,1238
36061026500,15,195037,103474.0483,18683.7882,30,126,2,4,0,30,4,10.01215436,89.98784564,0,6850,30.81751825,4.613138686,105379,36061026500,369
36061026700,16,47339,31881.1486,1026.156848,5,12,0,0,0,5,0,14.160401,85.839599,0,2083,54.48871819,1.728276524,57361,36061026700,135
36061026900,17,175569,125910.0069,4071.573248,11,128,2,1,0,28,4,0,100,0,7848,9.900611621,5.784913354,60064,36061026900,1133
36061027500,18,279710,43203.9772,16753.27721,10,12,0,0,0,0,0,16.65974996,5.213466826,0,3063,67.74404179,3.819784525,170952,36061027500,341
36061027700,19,163262,94510.27801,5403.427576,11,48,3,0,0,9,1,10.70325277,89.29674723,0,6423,10.24443407,4.764128912,32987,36061027700,878
36061027900,20,180013,119523.6412,7976.576155,25,84,0,1,0,22,7,7.306613888,92.69338611,0,10019,20.62082044,3.802774728,50833,36061027900,1556
36061028500,21,121940,87642.83527,3152.594188,6,90,1,0,0,18,3,11.26487011,88.73512989,0,6794,9.949955843,4.32734766,55625,36061028500,833
36061028700,22,532368,84138.87332,18435.40159,36,88,1,0,0,17,3,25.46852475,7.477174435,0,3772,30.46129374,4.586426299,75197,36061028700,1511
36061008601,23,125340,32845.95521,11431.70692,17,50,0,0,0,5,2,3.667632667,12.74169794,0,4853,50.29878426,3.915104059,221250,36061008601,1643
36061029100,24,187477,134048.096,7475.534396,10,112,0,0,0,28,5,0,100,0,10509,7.574459987,4.586544866,58080,36061029100,1139
36061029300,25,157076,111636.9529,10579.38123,18,137,1,2,0,39,3,0.113357264,99.88664274,0,8035,7.517112632,3.671437461,47353,36061029300,1237
36061029500,26,135565,96740.50639,4892.377626,11,80,0,0,0,20,2,11.7415115,88.2584885,0,7039,33.55590283,5.540559739,98676,36061029500,819
36061029700,27,948118,42557.13759,7541.437808,13,15,0,0,0,1,0,34.91588728,7.954269404,0,16,0,31.25,0,36061029700,438
36061030300,28,156650,73459.95181,6152.043146,16,104,4,0,0,28,2,32.84795764,67.11422088,0,3691,36.06068816,4.768355459,70521,36061030300,865
36061016300,29,263617,114385.6203,10655.9202,21,145,4,0,0,22,3,18.81471585,25.19444577,0,7292,72.4355458,4.47065277,179848,36061016300,961
36061029900,30,620159,261911.5112,15005.10776,29,81,0,3,1,16,3,8.478000126,56.25591819,1.609746859,3598,2.167871039,21.20622568,35930,36061029900,790
36061010602,31,124970,73981.15486,8776.21292,15,156,0,0,0,25,3,2.592925659,63.53417266,0,5489,63.76389142,5.702313718,200804,36061010602,577
36061010900,32,175741,179790.2169,4380.646042,10,1459,17,3,4,138,10,0,100,0,407,32.92383292,18.91891892,171944,36061010900,299
