GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mmh_income,geoid_o,visitor_flows
4013093104,0,3920395,820972.071,48835.4011,41,130,7,0,2,4,3,1.021771791,75.67502511,23.0832441,5537,14.6830414,15.5318765,33479,4013093104,3072
4013103205,1,2635515,675446.4418,22166.07315,118,18,0,0,0,0,0,23.80072665,71.80245089,0.314058747,2799,81.922115,0.3572705,91250,4013103205,2825
4013103206,2,2573799,662565.1364,22197.01132,117,22,0,0,0,0,0,6.262738792,88.81391551,0.363332531,2433,82.4496506,0.4932182,119706,4013103206,1737
4013104501,3,1227314,322086.1633,14826.32329,68,9,0,0,0,0,1,0.497538358,88.87441715,7.971033371,3972,28.6505539,10.1711984,41250,4013104501,2616
4013104502,4,1342083,208984.1201,7213.248384,65,14,0,0,1,0,0,0,88.92534266,5.174006029,5491,20.7066108,7.3939173,38596,4013104502,3649
4013105002,5,8052292,483053.2872,38797.50194,202,230,2,0,0,30,3,35.93796178,44.86354748,3.782453271,2608,83.857362,0.8435583,214231,4013105002,1453
4013107900,6,7780043,636407.7639,21068.46431,197,12,0,0,0,2,0,13.66655631,45.35766222,10.38978455,3682,79.4133623,2.4443237,165058,4013107900,1571
4013108000,7,3793388,668936.2447,17208.49656,162,33,1,0,0,6,1,59.88200338,35.68327581,3.164844199,3477,84.1530055,0.5464481,217422,4013108000,2505
4013116721,8,2295747,461941.0635,9622.769005,111,33,1,0,0,7,1,1.535166012,62.29489468,16.23134595,3588,71.0144928,2.787068,113357,4013116721,2576
4013116725,9,4158265,817643.8719,32334.64294,110,80,0,0,0,15,2,2.349122518,59.06522371,10.93454051,5035,66.6137041,5.8589871,119200,4013116725,4022
4013116727,10,4559813,726088.5523,32711.85591,113,32,0,0,0,5,1,2.15234042,48.00277998,19.29583217,4095,70.03663,4.2246642,155000,4013116727,5613
4013116728,11,6256916,473814.3466,20675.86026,143,4,0,0,0,0,0,0.402256817,38.87629296,14.05077839,4792,70.1168614,3.9649416,161131,4013116728,5270
4013420202,12,2590592,690330.4182,17243.1118,128,94,2,0,0,8,1,0.922476718,90.6833627,5.468160081,5307,71.6789146,2.8829847,60423,4013420202,3819
4013420207,13,3288677,257076.5168,41819.79448,79,4,0,0,0,0,0,3.920113219,54.01462743,11.83852419,2768,83.6705202,1.0115607,147159,4013420207,1646
4013420208,14,2590003,724300.3473,12607.44129,118,67,0,2,0,18,2,3.976621447,85.54585648,2.126239151,5614,64.1432134,2.1731386,86917,4013420208,5120
4013420209,15,2592796,710340.74,13398.09044,158,74,1,1,0,9,1,0.322393041,91.21320927,1.935622535,4220,76.8483412,2.0379147,71732,4013420209,2333
4013040506,16,6314714,1464486.323,47740.6887,298,14,0,0,0,0,0,2.148568298,72.18022607,4.796355297,5809,93.6994319,1.4116027,61426,4013040506,1418
4013040507,17,7602501,2204801.872,62470.50534,313,247,1,1,0,16,3,1.729358408,78.02155917,11.01470254,6362,94.0427539,1.0688463,71140,4013040507,1409
4013082010,18,1297867,439602.5772,9913.629999,91,51,1,0,0,9,4,1.283600121,92.82442364,3.324776,4342,12.9203132,4.4449562,63636,4013082010,2721
4013103207,19,2420553,671052.7845,13431.47646,96,275,2,0,1,26,1,5.14244229,93.03720036,1.011010876,2389,83.4240268,1.3394726,148875,4013103207,2423
4013103208,20,2777557,894386.8604,12647.87957,145,479,1,2,0,74,4,9.356601693,78.62805808,0.598128211,3995,82.7534418,1.7021277,84944,4013103208,2003
4013103209,21,6475776,1467642.783,32762.56666,227,39,0,0,0,0,0,14.87827808,70.44037605,1.338941119,5312,83.2078313,1.185994,125329,4013103209,3978
4013116729,22,3794205,479635.7363,7892.746688,127,4,0,0,0,0,0,0.717863967,49.10912566,14.56644115,4008,75.249501,1.9710579,151029,4013116729,3560
4013318800,23,2602290,372932.6476,23052.70855,61,99,1,0,0,15,1,13.02267318,65.63948391,11.36665414,7468,50.6159614,8.1949652,48683,4013318800,2688
4013319101,24,330654,87126.5058,5621.702528,15,29,1,0,0,2,0,0,100,0,4634,48.6836426,5.1359517,40551,4013319101,2243
4013318900,25,2589082,813514.0639,15613.08118,162,315,2,2,0,103,9,12.26239097,85.27454243,0.813038875,6427,58.8921736,5.9592345,59018,4013318900,2205
4013319403,26,2657428,753373.5389,8172.895039,119,125,0,0,0,2,2,3.06008652,87.25229476,1.875022978,4709,56.0416224,8.2395413,76343,4013319403,2353
4013319404,27,1841582,658098.4819,32368.05886,89,120,1,0,0,11,2,1.886491656,85.93190917,7.691217627,3750,76.7733333,2.64,91538,4013319404,874
4013319500,28,2576259,824193.7499,10444.67839,125,132,0,0,0,25,3,2.035231959,93.10114371,1.648109151,6177,60.4824348,5.1481302,97697,4013319500,2925
4013420210,29,2601089,616701.4303,20597.6511,182,101,0,0,0,22,2,0.831786019,94.9176996,2.052491595,5328,74.2867868,2.3836336,75885,4013420210,4379
4013420211,30,2717050,660431.9309,30787.87547,133,51,0,0,0,1,0,1.482436352,85.26038123,5.449923013,4380,76.2557078,1.2328767,98774,4013420211,4143
4013420212,31,2571940,606317.6071,12341.97926,97,152,2,0,0,29,3,1.941870796,77.88932606,2.534585607,2957,79.5738925,1.3189043,79444,4013420212,2009
