GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mhh_income,geoid_o,visitor_flows
6075017102,0,294894,182168.2147,3651.961077,20,94,0,0,0,22,2,4.701437716,95.29856228,0,3798,69.5893,3.1859,245431,6075017102,226
6075012302,1,92653,88784.933,2882.337342,8,166,2,1,0,54,6,0,100,0,2875,36.2435,7.7913,68529,6075012302,712
6075016801,2,226534,152242.7543,1648.00702,26,126,1,0,0,47,4,0.054734537,99.94526546,0,4282,54.4138,6.9127,185536,6075016801,364
6075011902,3,93053,82388.44803,3361.182042,8,53,0,1,0,11,6,0,100,0,2738,49.6713,2.6662,103179,6075011902,268
6075012202,4,94685,73729.56967,4219.572879,13,150,3,0,0,20,3,0,100,0,2490,30.5221,10.6827,0,6075012202,490
6075012601,5,170458,132555.8932,540.6314743,19,65,1,0,0,23,0,0,100,0,2577,74.544,0.7761,250000,6075012601,183
6075012602,6,609462,211595.4623,6859.180649,53,93,2,0,1,16,2,7.170798824,35.26317209,0,3058,75.4088,0.8175,250000,6075012602,243
6075012902,7,352884,201072.1674,3931.570102,35,149,1,0,0,24,4,0,84.56405303,0,3667,70.7118,1.309,234333,6075012902,292
6075013101,8,173031,128413.8189,2907.668253,12,65,0,0,0,3,1,0.035790981,99.96420902,0,4197,65.7136,1.2866,220403,6075013101,350
6075013102,9,237884,120183.4295,4976.433731,20,60,0,0,0,1,0,15.09114583,78.26822917,0,2938,68.0395,1.2934,223125,6075013102,105
6075015801,10,343934,161443.1537,5164.968764,39,57,0,0,0,1,2,1.855688677,98.14431132,0,3869,37.9685,20.2895,79063,6075015801,716
6075016802,11,215267,142990.2542,3427.060278,41,152,1,0,0,23,4,0,100,0,3928,49.0835,8.2485,148274,6075016802,316
6075017101,12,313368,196213.8342,4514.345976,21,21,0,0,0,1,0,2.789593432,97.21040657,0,3766,71.6941,2.1243,250000,6075017101,222
6075017801,13,214051,165902.0055,6122.815333,15,132,2,1,2,23,2,0,100,0,3567,24.2781,3.8968,0,6075017801,287
6075022704,14,544609,257293.522,7610.371509,31,74,2,0,0,12,3,6.955186533,91.59463148,0,3734,60.2839,1.8479,250000,6075022704,846
6075025701,15,612500,242942.9922,21958.61831,72,17,0,0,1,2,1,1.841546089,97.17191136,0,4716,10.8991,1.972,106610,6075025701,704
6075025702,16,533458,239967.2726,21317.48161,53,155,3,0,0,37,8,0,99.54112454,0,4551,9.4704,1.7359,106081,6075025702,1166
6075031201,17,512854,277375.7866,5713.183573,48,76,1,0,1,17,3,0,100,0,6064,15.3859,5.376,100000,6075031201,1564
6075031202,18,309420,152314.0618,6039.956179,27,7,0,0,0,0,1,2.58265501,97.41734499,0,3051,12.0616,9.4723,86950,6075031202,504
6075032602,19,472116,274782.6012,1843.686999,30,43,0,0,0,3,1,3.731881682,96.26811832,0,4289,31.7323,1.0026,149583,6075032602,933
6075032801,20,585365,293616.6575,3257.332275,29,87,1,0,1,18,1,3.42690678,89.98940678,0,4234,27.6807,1.3935,106000,6075032801,983
6075032802,21,548900,274476.2198,3199.020141,30,119,2,0,0,27,0,3.006510915,83.56472616,9.766373037,4097,27.63,1.2936,131295,6075032802,1154
6075032901,22,671900,341609.2356,3753.384558,45,63,1,0,0,6,2,1.175982291,98.82401771,0,5015,26.6002,0.8774,135347,6075032901,1167
6075033203,23,436409,156025.3439,4168.35274,52,20,1,0,0,6,1,10.39495143,88.56271715,0,4003,30.2273,9.293,103309,6075033203,652
6075033204,24,387903,110875.544,2394.083345,80,16,0,0,1,2,0,5.09518477,90.85746281,0,3839,30.086,9.0909,81413,6075033204,797
6075042601,25,293133,197773.4966,2030.146925,13,141,3,0,0,47,4,2.691861079,97.30813892,0,3917,45.7238,1.5573,117222,6075042601,1071
6075042602,26,332057,187533.8473,3612.494619,18,87,1,1,1,14,1,4.072693383,95.92730662,0,3469,49.6685,1.4413,203750,6075042602,428
6075047801,27,476606,251477.5414,5311.149591,29,62,0,0,0,20,1,1.682364404,98.3176356,0,4140,37.4879,1.4251,140536,6075047801,799
6075061200,28,434957,223135.3125,10287.85608,52,93,1,1,0,16,6,0,99.7149576,0,4166,10.5377,19.4191,72188,6075061200,1125
6075980300,29,4337505,103545.4242,58933.7005,154,89,2,0,0,9,0,71.39988133,8.640936862,3.130481276,284,39.4366,13.3803,0,6075980300,310
6075012502,30,61275,53060.16775,1473.883175,4,71,1,0,0,14,5,0,100,0,4482,19.701,15.1049,51857,6075012502,480
6075980200,31,998273,63864.64001,4570.940613,12,18,0,0,0,4,0,30.84921402,5.991042417,0.44787916,79,58.2278,26.5823,0,6075980200,374
6075023102,32,487258,166304.6588,474.0167305,52,16,0,1,0,0,0,6.481540319,91.8980746,0,3377,7.8472,49.2153,0,6075023102,731
6075023200,33,856567,443738.9529,3351.97807,58,101,3,4,1,20,8,0.340062224,89.26271616,0.922509225,4987,9.1638,25.6266,92125,6075023200,1088
6075023300,34,633256,311638.3859,6136.55044,47,76,4,2,2,12,3,2.494863516,97.50513648,0,4369,7.2328,12.7718,70571,6075023300,742
6075022901,35,248905,157366.6662,4817.631583,17,108,1,0,1,35,5,0,100,0,4275,27.7427,4.1404,68077,6075022901,698
6075022803,36,282080,184626.5119,4064.653857,18,65,0,0,0,12,4,2.801889902,97.1981101,0,4380,36.0274,1.7352,109028,6075022803,410
6075047702,37,352786,208458.1571,3863.152372,17,32,0,0,0,0,1,1.404124616,98.59587538,0,3823,39.367,1.8049,155474,6075047702,570
6075035202,38,372758,209961.0943,4569.708999,31,68,1,0,0,16,4,0.091491308,99.49263911,0,4353,42.4305,2.1365,113000,6075035202,859
6075013300,39,581305,355181.8698,5224.732466,48,441,0,0,1,11,2,6.558075162,91.89822208,0,4344,73.1814,1.2201,245208,6075013300,545
6075025403,40,515731,201972.6986,11169.53161,53,26,0,0,0,4,3,11.4514382,82.41063907,0,4430,27.3138,6.9977,143287,6075025403,544
6075022702,41,295531,153406.4839,9383.050913,32,77,0,0,0,19,3,0,100,0,2194,60.6199,1.9599,219167,6075022702,173
6075030202,42,356618,225696.1855,5696.699486,28,271,3,0,0,99,7,6.744105409,93.25589459,0,4507,51.2092,2.1966,105813,6075030202,494
6075026001,43,407294,232337.9227,1450.75749,27,112,7,0,0,34,4,0,100,0,5553,11.9395,1.3866,98500,6075026001,1465
6075026003,44,407434,220586.5766,2438.890071,24,12,0,0,0,0,1,1.475734064,98.51665906,0,4890,14.8671,1.4724,103068,6075026003,888
6075026404,45,189179,96626.71226,0,20,6,0,0,0,0,0,0,100,0,3100,1.871,14.2581,78000,6075026404,287
6075025401,46,363722,157584.0558,4457.060631,40,58,3,0,0,13,2,11.29776021,88.70223979,0,3331,41.8193,4.4131,160980,6075025401,338
6075060502,47,348832,106534.0176,779.3471107,17,12,0,0,0,1,0,15.37228358,74.23405771,0,3214,3.8581,20.6907,37656,6075060502,908
6075045100,48,384459,224250.9055,6060.983322,30,82,0,0,0,30,2,0.88581092,99.11418908,0,5048,42.9675,1.7829,201002,6075045100,825
6075016500,49,370446,239009.2014,3077.222062,23,158,1,0,0,14,4,7.419166179,92.3719609,0,5171,59.7177,5.7242,250000,6075016500,362
6075015300,50,233721,136193.6835,3310.276007,18,230,1,0,0,17,1,0,100,0,2387,63.2174,4.8178,141875,6075015300,142
6075013500,51,235184,170894.1229,4431.823249,17,440,0,0,0,23,2,0.764062706,99.10420234,0,2912,65.4876,2.2321,250000,6075013500,142
6075023103,52,1246230,223132.4875,7795.686955,42,33,3,0,1,1,0,6.324088879,48.74014446,1.64856371,4901,3.2034,49.6021,40583,6075023103,884
6075022801,53,578057,370849.6273,9104.094117,49,324,10,0,2,44,9,0,99.82857449,0,4956,39.4673,3.6118,119016,6075022801,828
6075018000,54,933506,628842.6568,39509.03789,72,731,9,6,0,141,9,0,100,0,4758,35.0357,13.9134,184688,6075018000,313
6075010300,55,268261,182316.3866,6710.859353,26,52,0,0,1,9,1,0,100,0,4062,61.3983,1.1078,164828,6075010300,483
6075010500,56,676089,502063.7566,13394.75058,59,515,13,6,2,125,15,0.911694385,54.29442211,0.669977142,3234,47.2789,2.8757,188155,6075010500,277
6075010600,57,187223,147631.9904,3829.940389,18,262,1,0,1,80,6,0.314673733,99.68532627,0,3718,38.0581,1.8558,70365,6075010600,309
6075010800,58,226072,173814.3676,5742.527901,22,42,0,0,0,9,1,3.49028196,96.50971804,0,4573,48.9613,0.9622,225176,6075010800,500
6075011200,59,177415,148362.9711,4816.157584,16,48,0,0,0,8,3,0,100,0,3441,56.2046,1.2787,200893,6075011200,368
6075011300,60,102298,81267.74685,5377.818164,8,128,1,0,0,15,9,0,100,0,3068,16.8514,1.5645,61375,6075011300,247
6075011700,61,551749,525166.6025,14819.31149,42,2728,29,6,4,306,18,0,100,0,1905,34.3832,7.1391,0,6075011700,375
6075011800,62,56564,50949.23025,1943.827857,4,147,3,0,0,30,2,0,100,0,1589,9.0623,0.6293,37217,6075011800,253
6075012700,63,429259,242134.4699,5260.989479,45,31,2,0,0,4,0,1.333879632,69.54839297,0,3769,76.1741,0.451,224613,6075012700,327
6075013200,64,546674,326564.4919,4586.46309,37,32,0,0,0,0,1,5.202672101,94.7973279,0,4464,74.2832,1.2097,250000,6075013200,428
6075012100,65,123394,112158.3479,2757.245501,10,426,0,0,0,56,4,0,100,0,3455,42.6628,6.0203,165089,6075012100,438
6075015100,66,171998,142627.2375,3944.894663,16,248,0,0,0,24,4,0,100,0,3104,52.0296,2.5773,181719,6075015100,304
6075015900,67,295577,154999.7524,4230.602533,27,118,2,0,1,29,5,13.43736908,86.56263092,0,4630,32.2894,9.6112,93684,6075015900,831
6075016000,68,157523,98285.57765,3070.14865,11,103,0,0,0,7,2,0,100,0,2969,40.7881,6.77,122065,6075016000,179
6075016200,69,273260,201825.0464,6150.762971,30,336,2,0,1,60,6,0,100,0,3672,48.1481,6.9172,237759,6075016200,395
6075016300,70,245866,163662.9004,3177.318893,29,61,1,0,0,10,2,0.012600806,97.4546371,0,4296,47.4395,15.8054,143831,6075016300,281
6075016400,71,309099,161122.694,3563.621422,23,122,3,1,0,19,8,12.58258258,81.78178178,0,3920,59.2092,6.7857,179583,6075016400,495
6075015500,72,312148,210038.4505,8810.740241,28,412,2,0,1,73,3,0.486448923,99.51355108,0,3899,41.0875,7.8738,160657,6075015500,295
6075015600,73,293931,165624.0882,6784.553458,35,42,0,0,0,10,1,5.369551485,86.57612129,0,3274,48.1368,2.1686,131384,6075015600,479
6075016700,74,490697,201547.9292,2857.308287,36,124,4,0,1,26,5,27.63016725,71.56831808,0,4835,65.8532,3.7229,244159,6075016700,751
