id,longitud,latitude,lon_id,lat_id,LST,tree,shrubland,grassland,builtup,barren,water,slope,aspect,elevation,poi_num,bldg_area,nodes_num,aspect_class,Southeast,South,Southwest,East,Northeast,West,Northwest,North
31,-74.1097,40.9135,1,1,34.51277939,19.82547352,0,8.86159032,35.11472462,1.16769813,0,0.24574994,293.9972839,20.20023346,0,19666.38086,9,Northwest,0,0,0,1,0,0,0,0
32,-74.1048,40.9135,2,1,30.71194115,17.49487964,0,7.15515599,40.24333528,0.07611567,0,0.49139419,126.3201141,17.6691246,0,1305.681258,12,Southeast,0,0,0,0,0,1,0,0
33,-74.1,40.9135,3,1,34.77767594,15.98508649,0,7.0730534,41.73374347,0.17760322,0,0.3303557,152.2958374,15.82303524,0,7229.887239,8,Southeast,0,0,0,0,0,1,0,0
34,-74.0951,40.9135,4,1,28.85253827,24.62064001,0,9.33628621,30.91107281,0.10148755,0,0.60142416,117.3361282,13.91104031,0,7229.887239,5,Southeast,0,0,0,0,0,1,0,0
35,-74.0903,40.9135,5,1,25.71650492,43.00713191,0,2.09654413,14.77210676,0,5.09370378,0.08616289,143.1505127,10.78109455,0,41778.30007,5,Southeast,0,0,0,0,0,1,0,0
36,-74.0854,40.9135,6,1,24.13567067,29.00774442,0,3.23307949,32.52568757,0.05074379,0,0.13209856,195.6398163,13.69030571,0,59348.3351,13,South,0,0,0,0,1,0,0,0
37,-74.0806,40.9135,7,1,28.64233004,26.12733872,0,1.64134169,35.68357444,1.2623972,0.20409076,0.16989633,140.9679413,13.77145863,0,33970.50568,6,Southeast,0,0,0,0,0,1,0,0
38,-74.0757,40.9135,8,1,31.63138853,21.3867758,0,3.39158154,33.19515805,6.46427725,0.37946265,0.42627668,233.2711945,13.62151623,0,28135.88179,11,Southwest,0,0,0,0,0,0,1,0
39,-74.0709,40.9135,9,1,33.63434825,30.57023254,0,3.50957314,27.76381776,3.07511938,0,0.31245804,179.4345703,20.03106308,0,30338.87506,9,South,0,0,0,0,1,0,0,0
40,-74.066,40.9135,10,1,35.09042477,48.93655,0,4.22248047,11.72960596,0.08085016,0,0.19097102,39.74924469,15.70292091,0,37437.39477,12,Northeast,0,0,1,0,0,0,0,0
41,-74.0612,40.9135,11,1,38.56142408,30.71167253,0,4.38492336,29.34008097,0.4313222,0,0.78705603,352.413147,21.12974548,0,80759.15293,10,North,0,1,0,0,0,0,0,0
42,-74.0563,40.9135,12,1,42.1195829,13.45216486,0,0.32607406,50.70075896,0.4904887,0,0.77247381,76.05956268,20.69621277,0,122157.0704,16,East,1,0,0,0,0,0,0,0
43,-74.0515,40.9135,13,1,43.32614396,9.92925714,0,1.17061059,53.08973008,0.77988877,0,1.43998408,102.6929703,13.35686874,0,79733.29529,4,East,1,0,0,0,0,0,0,0
44,-74.0466,40.9135,14,1,39.17495867,28.76459125,0,2.00437893,33.76919421,0.4313222,0,0.20636457,105.8814392,8.24977398,0,45225.12788,2,East,1,0,0,0,0,0,0,0
45,-74.0418,40.9135,15,1,39.7782392,40.02555193,0,0.54694316,24.36906667,0.02792482,0,2.07125258,243.2431488,13.92747974,0,53904.08491,21,Southwest,0,0,0,0,0,0,1,0
46,-74.0369,40.9135,16,1,42.73311749,29.99289945,0,0.43132208,34.24080238,0.30446268,0,2.20919442,156.4711456,22.84025574,0,51262.05398,11,Southeast,0,0,0,0,0,1,0,0
47,-74.032,40.9135,17,1,41.7606908,24.19724709,0,9.51445849,21.6429691,1.45906059,8.13037943,0.50283414,83.27713776,0.97372842,0,26596.95817,4,East,1,0,0,0,0,0,0,0
48,-74.0272,40.9135,18,1,32.94732623,36.75840836,0,5.39501612,8.87011454,2.7694452,10.16402253,0.89910102,242.7123108,6.18176651,0,24004.25461,6,Southwest,0,0,0,0,0,0,1,0
49,-74.0223,40.9135,19,1,36.13975691,58.25952303,0,0.30572997,5.99828324,0.25371895,0,0.71559095,280.7448425,8.8637743,0,38872.12923,12,West,0,0,0,0,0,0,0,1
50,-74.0175,40.9135,20,1,35.6253449,58.73895054,0,0.12685948,6.10367656,0,0,2.8571322,301.9813538,25.32921982,0,9613.997822,10,Northwest,0,0,0,1,0,0,0,0
51,-74.0126,40.9135,21,1,38.12733554,47.91148318,0,0.12685946,16.93114394,0,0,1.95172954,317.7919617,33.37159729,0,0,21,Northwest,0,0,0,1,0,0,0,0
52,-74.0078,40.9135,22,1,39.61417424,37.70389586,0,5.68692021,20.43693518,1.11636344,0,1.20680034,104.1755066,31.92112732,0,0,13,East,1,0,0,0,0,0,0,0
53,-74.0029,40.9135,23,1,40.11662318,30.59484186,0,1.72167295,31.53660858,1.1163632,0,0.19390813,56.75253296,21.88308907,0,18127.3857,8,Northeast,0,0,1,0,0,0,0,0
54,-73.9981,40.9135,24,1,40.65154331,13.41477033,0,0.77647419,48.70158335,2.07665872,0,0.92359078,306.2141418,25.14960289,0,9424.372004,9,Northwest,0,0,0,1,0,0,0,0
55,-73.9932,40.9135,25,1,39.85343564,36.47393418,0,3.24206857,25.04795581,0.20552803,0,1.14745331,76.93041992,20.42842484,0,0,1,East,1,0,0,0,0,0,0,0
